// Col::Object,T c0,T c1,T c2,T c3,[Timestamp]
Mesure::World_Frame,0.0010799005,-0.0002112870,0.9999993946,-1985.5474
,0.9999992057,0.0006501744,-0.0010797629,-1548.5968
,-0.0006499459,0.9999997663,0.0002119890,0.1695
,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Geo robot::R1,0.0010799005,-0.0002112870,0.9999993946,-1310.5478
,0.9999992057,0.0006501744,-0.0010797629,-1549.3256
,-0.0006499459,0.9999997663,0.0002119890,0.3126
,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Geo robot::R2',0.9999999349,0.0002874177,0.0002181523,-1310.1698
,-0.0002875594,0.9999997476,0.0006497106,-1199.3093
,-0.0002179655,-0.0006497733,0.9999997651,0.0851
,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Geo robot::R3'',0.9999999785,0.0000944705,0.0001843387,40.3846
,-0.0000945291,0.9999999452,0.0003174198,-1199.7393
,-0.0001843087,-0.0003174372,0.9999999326,-0.0910
,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Geo robot::R4,0.9999999955,0.0000000051,0.0000945390,0.0000
,-0.0000945390,0.0000539673,0.9999999941,0.0000
,-0.0000000000,-0.9999999985,0.0000539673,0.0000
,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Geo robot::R5,1.0000000000,0.0000000000,0.0000000000,0.0000
,0.0000000000,1.0000000000,-0.0000000000,0.0000
,0.0000000000,-0.0000000000,1.0000000000,0.0000
,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Geo robot::R6,-1.0000000000,0.0000000000,-0.0000000000,-0.0000
,0.0000000000,0.0011277892,0.9999993640,239.9998
,0.0000000000,0.9999993640,-0.0011277892,-0.2707
,0.0000000000,0.0000000000,0.0000000000,1.0000000000
